Student_ID,Name,Math,Science,English,Computer,Social_Science,Total,Percentage,Result
46,Student_0046,97,54,59,72,62,344,68.8,Pass
47,Student_0047,42,42,75,42,41,242,48.4,Pass
48,Student_0048,96,99,55,42,100,392,78.4,Pass
49,Student_0049,45,58,43,43,65,254,50.8,Pass
50,Student_0050,86,50,66,40,45,287,57.4,Pass
51,Student_0051,88,75,68,61,75,367,73.4,Pass
52,Student_0052,65,68,85,51,73,342,68.4,Pass
53,Student_0053,93,75,44,36,93,341,68.2,Pass
54,Student_0054,47,44,62,99,68,320,64.0,Pass
55,Student_0055,51,79,43,66,82,321,64.2,Pass
56,Student_0056,71,55,91,73,36,326,65.2,Pass
57,Student_0057,73,48,52,68,49,290,58.0,Pass
58,Student_0058,48,54,69,71,61,303,60.6,Pass
59,Student_0059,78,61,68,99,97,403,80.6,Pass
60,Student_0060,67,41,46,89,70,313,62.6,Pass
61,Student_0061,40,35,77,51,68,271,54.2,Pass
62,Student_0062,55,91,89,36,49,320,64.0,Pass
63,Student_0063,44,54,39,82,53,272,54.4,Pass
64,Student_0064,90,51,40,74,81,336,67.2,Pass
65,Student_0065,40,80,61,66,48,295,59.0,Pass
66,Student_0066,80,87,54,65,55,341,68.2,Pass
67,Student_0067,57,87,38,57,77,316,63.2,Pass
68,Student_0068,87,66,69,55,48,325,65.0,Pass
69,Student_0069,83,39,95,63,60,340,68.0,Pass
70,Student_0070,93,79,74,64,63,373,74.6,Pass
71,Student_0071,38,59,86,77,70,330,66.0,Pass
72,Student_0072,43,70,79,100,86,378,75.6,Pass
73,Student_0073,77,38,49,68,57,289,57.8,Pass
74,Student_0074,68,39,48,90,79,324,64.8,Pass
75,Student_0075,75,90,100,49,84,398,79.6,Pass
76,Student_0076,59,67,40,90,35,291,58.2,Pass
77,Student_0077,60,81,90,43,77,351,70.2,Pass
78,Student_0078,75,50,73,99,74,371,74.2,Pass
79,Student_0079,87,76,86,72,51,372,74.4,Pass
80,Student_0080,59,88,83,57,73,360,72.0,Pass
81,Student_0081,86,35,73,71,61,326,65.2,Pass
82,Student_0082,90,76,94,91,91,442,88.4,Pass
83,Student_0083,62,100,95,56,45,358,71.6,Pass
84,Student_0084,71,100,77,46,65,359,71.8,Pass
85,Student_0085,74,63,60,53,38,288,57.6,Pass
86,Student_0086,40,66,95,44,93,338,67.6,Pass
87,Student_0087,88,59,84,98,86,415,83.0,Pass
88,Student_0088,66,53,35,48,89,291,58.2,Pass
89,Student_0089,63,57,94,41,66,321,64.2,Pass
90,Student_0090,50,93,52,94,75,364,72.8,Pass
91,Student_0091,91,99,89,92,55,426,85.2,Pass
92,Student_0092,95,92,68,66,70,391,78.2,Pass
93,Student_0093,97,65,70,91,44,367,73.4,Pass
94,Student_0094,71,65,69,77,75,357,71.4,Pass
95,Student_0095,45,52,54,64,84,299,59.8,Pass
96,Student_0096,54,62,43,88,87,334,66.8,Pass
97,Student_0097,77,94,88,42,61,362,72.4,Pass
98,Student_0098,88,84,37,83,96,388,77.6,Pass
99,Student_0099,35,80,73,84,88,360,72.0,Pass
100,Student_0100,63,97,63,69,90,382,76.4,Pass
101,Student_0101,97,38,84,78,86,383,76.6,Pass
102,Student_0102,56,94,51,38,85,324,64.8,Pass
103,Student_0103,38,45,89,52,94,318,63.6,Pass
104,Student_0104,58,41,68,83,76,326,65.2,Pass
105,Student_0105,62,93,76,78,83,392,78.4,Pass
106,Student_0106,70,88,67,45,95,365,73.0,Pass
107,Student_0107,37,41,79,63,43,263,52.6,Pass
108,Student_0108,40,38,66,60,37,241,48.2,Pass
109,Student_0109,54,65,51,95,49,314,62.8,Pass
110,Student_0110,62,94,67,82,56,361,72.2,Pass
111,Student_0111,49,55,74,48,38,264,52.8,Pass
112,Student_0112,74,83,85,60,44,346,69.2,Pass
113,Student_0113,66,48,73,50,40,277,55.4,Pass
114,Student_0114,79,89,82,43,99,392,78.4,Pass
115,Student_0115,78,36,88,97,48,347,69.4,Pass
116,Student_0116,90,81,93,54,90,408,81.6,Pass
117,Student_0117,57,69,96,94,90,406,81.2,Pass
118,Student_0118,69,76,66,46,70,327,65.4,Pass
119,Student_0119,92,66,94,83,78,413,82.6,Pass
120,Student_0120,38,98,76,58,97,367,73.4,Pass
121,Student_0121,62,80,68,78,70,358,71.6,Pass
122,Student_0122,70,36,59,45,65,275,55.0,Pass
123,Student_0123,87,97,65,95,97,441,88.2,Pass
124,Student_0124,92,37,46,72,63,310,62.0,Pass
125,Student_0125,86,66,74,82,95,403,80.6,Pass
126,Student_0126,79,89,77,80,93,418,83.6,Pass
127,Student_0127,69,74,67,64,50,324,64.8,Pass
128,Student_0128,59,75,50,58,59,301,60.2,Pass
129,Student_0129,62,96,70,71,47,346,69.2,Pass
130,Student_0130,59,72,64,81,57,333,66.6,Pass
131,Student_0131,73,36,51,70,40,270,54.0,Pass
132,Student_0132,41,72,51,97,48,309,61.8,Pass
133,Student_0133,36,71,95,96,91,389,77.8,Pass
134,Student_0134,78,58,41,67,96,340,68.0,Pass
135,Student_0135,49,43,86,97,44,319,63.8,Pass
136,Student_0136,41,54,54,73,45,267,53.4,Pass
137,Student_0137,66,50,88,63,83,350,70.0,Pass
138,Student_0138,92,91,73,89,74,419,83.8,Pass
139,Student_0139,42,47,61,62,68,280,56.0,Pass
140,Student_0140,45,55,65,57,44,266,53.2,Pass
141,Student_0141,55,35,87,92,95,364,72.8,Pass
142,Student_0142,72,39,64,71,71,317,63.4,Pass
143,Student_0143,93,44,64,68,60,329,65.8,Pass
144,Student_0144,89,49,63,54,69,324,64.8,Pass
145,Student_0145,53,44,42,56,74,269,53.8,Pass
146,Student_0146,71,91,50,94,73,379,75.8,Pass
147,Student_0147,86,69,99,98,91,443,88.6,Pass
148,Student_0148,45,40,90,76,67,318,63.6,Pass
149,Student_0149,38,46,64,37,69,254,50.8,Pass
150,Student_0150,40,57,95,91,70,353,70.6,Pass
151,Student_0151,58,90,97,46,95,386,77.2,Pass
152,Student_0152,79,87,77,76,48,367,73.4,Pass
153,Student_0153,55,77,87,98,71,388,77.6,Pass
154,Student_0154,86,39,93,46,75,339,67.8,Pass
155,Student_0155,67,76,49,86,100,378,75.6,Pass
156,Student_0156,35,94,87,41,59,316,63.2,Pass
157,Student_0157,81,98,91,41,61,372,74.4,Pass
158,Student_0158,69,51,71,91,97,379,75.8,Pass
159,Student_0159,50,38,65,55,74,282,56.4,Pass
160,Student_0160,36,87,46,63,49,281,56.2,Pass
161,Student_0161,94,50,54,98,72,368,73.6,Pass
162,Student_0162,100,69,88,96,95,448,89.6,Pass
163,Student_0163,66,93,53,84,59,355,71.0,Pass
164,Student_0164,100,52,43,70,88,353,70.6,Pass
165,Student_0165,78,99,69,35,71,352,70.4,Pass
166,Student_0166,73,97,54,92,96,412,82.4,Pass
167,Student_0167,79,77,83,93,76,408,81.6,Pass
168,Student_0168,59,65,84,64,87,359,71.8,Pass
169,Student_0169,40,75,95,83,84,377,75.4,Pass
170,Student_0170,54,98,39,51,99,341,68.2,Pass
171,Student_0171,77,47,91,47,93,355,71.0,Pass
172,Student_0172,36,53,87,54,44,274,54.8,Pass
173,Student_0173,95,68,78,85,45,371,74.2,Pass
174,Student_0174,77,83,75,97,39,371,74.2,Pass
175,Student_0175,43,65,71,64,46,289,57.8,Pass
176,Student_0176,90,47,47,91,56,331,66.2,Pass
177,Student_0177,73,38,40,76,42,269,53.8,Pass
178,Student_0178,72,80,82,90,53,377,75.4,Pass
179,Student_0179,66,87,58,56,57,324,64.8,Pass
180,Student_0180,45,83,65,98,53,344,68.8,Pass
181,Student_0181,64,94,67,93,67,385,77.0,Pass
182,Student_0182,36,94,71,55,44,300,60.0,Pass
183,Student_0183,91,79,73,89,67,399,79.8,Pass
184,Student_0184,93,73,60,84,96,406,81.2,Pass
185,Student_0185,48,65,83,80,72,348,69.6,Pass
186,Student_0186,72,37,85,70,36,300,60.0,Pass
187,Student_0187,41,98,71,64,80,354,70.8,Pass
188,Student_0188,63,59,67,52,47,288,57.6,Pass
189,Student_0189,40,74,91,39,81,325,65.0,Pass
190,Student_0190,51,46,72,76,88,333,66.6,Pass
191,Student_0191,57,60,51,81,99,348,69.6,Pass
192,Student_0192,69,56,67,96,72,360,72.0,Pass
193,Student_0193,78,49,94,44,53,318,63.6,Pass
194,Student_0194,63,85,81,46,85,360,72.0,Pass
195,Student_0195,36,68,50,93,82,329,65.8,Pass
196,Student_0196,68,83,82,48,64,345,69.0,Pass
197,Student_0197,95,38,76,63,43,315,63.0,Pass
198,Student_0198,94,73,87,49,52,355,71.0,Pass
199,Student_0199,40,39,73,98,49,299,59.8,Pass
200,Student_0200,47,65,52,84,93,341,68.2,Pass
201,Student_0201,82,88,54,88,47,359,71.8,Pass
202,Student_0202,97,87,70,39,82,375,75.0,Pass
203,Student_0203,62,91,91,65,81,390,78.0,Pass
204,Student_0204,47,82,80,42,85,336,67.2,Pass
205,Student_0205,70,59,50,93,46,318,63.6,Pass
206,Student_0206,62,37,41,77,66,283,56.6,Pass
207,Student_0207,51,61,43,61,62,278,55.6,Pass
208,Student_0208,64,77,53,35,70,299,59.8,Pass
209,Student_0209,53,51,67,57,49,277,55.4,Pass
210,Student_0210,38,51,36,80,65,270,54.0,Pass
211,Student_0211,76,37,57,68,41,279,55.8,Pass
212,Student_0212,51,88,49,43,95,326,65.2,Pass
213,Student_0213,92,81,100,48,92,413,82.6,Pass
214,Student_0214,99,63,40,73,93,368,73.6,Pass
215,Student_0215,38,42,96,86,89,351,70.2,Pass
216,Student_0216,48,97,91,44,45,325,65.0,Pass
217,Student_0217,76,53,43,51,70,293,58.6,Pass
218,Student_0218,76,83,72,93,99,423,84.6,Pass
219,Student_0219,90,47,49,62,90,338,67.6,Pass
220,Student_0220,92,64,87,78,93,414,82.8,Pass
221,Student_0221,86,88,47,75,89,385,77.0,Pass
222,Student_0222,75,67,82,54,95,373,74.6,Pass
223,Student_0223,43,46,45,46,90,270,54.0,Pass
224,Student_0224,47,82,51,42,77,299,59.8,Pass
225,Student_0225,50,87,80,89,41,347,69.4,Pass
226,Student_0226,71,74,80,48,99,372,74.4,Pass
227,Student_0227,62,54,96,63,48,323,64.6,Pass
228,Student_0228,79,82,49,70,63,343,68.6,Pass
229,Student_0229,89,38,69,38,58,292,58.4,Pass
230,Student_0230,69,74,78,79,35,335,67.0,Pass
231,Student_0231,58,53,86,43,53,293,58.6,Pass
232,Student_0232,38,46,62,83,88,317,63.4,Pass
233,Student_0233,93,78,55,82,74,382,76.4,Pass
234,Student_0234,76,45,41,54,55,271,54.2,Pass
235,Student_0235,41,45,69,91,89,335,67.0,Pass
236,Student_0236,97,91,88,69,62,407,81.4,Pass
237,Student_0237,100,49,79,90,49,367,73.4,Pass
238,Student_0238,71,97,74,40,63,345,69.0,Pass
239,Student_0239,85,42,35,61,73,296,59.2,Pass
240,Student_0240,62,52,67,72,76,329,65.8,Pass
241,Student_0241,50,35,98,90,57,330,66.0,Pass
242,Student_0242,51,83,64,99,80,377,75.4,Pass
243,Student_0243,44,85,40,90,37,296,59.2,Pass
244,Student_0244,93,44,75,89,86,387,77.4,Pass
245,Student_0245,88,72,49,86,37,332,66.4,Pass
246,Student_0246,76,56,93,81,46,352,70.4,Pass
247,Student_0247,90,48,66,90,86,380,76.0,Pass
248,Student_0248,45,85,74,78,63,345,69.0,Pass
249,Student_0249,77,56,44,100,49,326,65.2,Pass
250,Student_0250,100,59,79,79,53,370,74.0,Pass
251,Student_0251,65,48,53,67,60,293,58.6,Pass
252,Student_0252,57,54,44,57,98,310,62.0,Pass
253,Student_0253,94,92,76,75,54,391,78.2,Pass
254,Student_0254,91,43,95,91,73,393,78.6,Pass
255,Student_0255,70,42,80,99,44,335,67.0,Pass
256,Student_0256,74,94,92,39,42,341,68.2,Pass
257,Student_0257,82,71,44,46,99,342,68.4,Pass
258,Student_0258,84,94,40,92,59,369,73.8,Pass
259,Student_0259,76,95,99,54,42,366,73.2,Pass
260,Student_0260,92,48,78,45,99,362,72.4,Pass
261,Student_0261,57,40,66,91,91,345,69.0,Pass
262,Student_0262,55,81,82,71,84,373,74.6,Pass
263,Student_0263,87,78,41,77,43,326,65.2,Pass
264,Student_0264,77,47,84,71,67,346,69.2,Pass
265,Student_0265,54,77,45,53,79,308,61.6,Pass
266,Student_0266,74,85,51,45,74,329,65.8,Pass
267,Student_0267,83,77,51,46,89,346,69.2,Pass
268,Student_0268,100,81,37,81,74,373,74.6,Pass
269,Student_0269,58,62,78,97,59,354,70.8,Pass
270,Student_0270,63,52,54,44,72,285,57.0,Pass
271,Student_0271,47,99,39,78,51,314,62.8,Pass
272,Student_0272,83,54,55,58,56,306,61.2,Pass
273,Student_0273,91,40,87,81,65,364,72.8,Pass
274,Student_0274,91,71,92,64,65,383,76.6,Pass
275,Student_0275,74,95,59,82,91,401,80.2,Pass
276,Student_0276,94,71,83,99,88,435,87.0,Pass
277,Student_0277,55,60,52,67,41,275,55.0,Pass
278,Student_0278,96,82,48,50,71,347,69.4,Pass
279,Student_0279,45,55,69,92,100,361,72.2,Pass
280,Student_0280,53,90,46,63,92,344,68.8,Pass
281,Student_0281,79,38,88,41,85,331,66.2,Pass
282,Student_0282,99,82,65,84,45,375,75.0,Pass
283,Student_0283,82,63,38,75,47,305,61.0,Pass
284,Student_0284,77,53,52,39,71,292,58.4,Pass
285,Student_0285,95,52,95,92,35,369,73.8,Pass
286,Student_0286,45,37,67,62,54,265,53.0,Pass
287,Student_0287,89,49,71,65,73,347,69.4,Pass
288,Student_0288,50,41,65,88,93,337,67.4,Pass
289,Student_0289,43,49,98,37,100,327,65.4,Pass
290,Student_0290,65,53,72,89,35,314,62.8,Pass
291,Student_0291,80,65,88,58,45,336,67.2,Pass
292,Student_0292,81,43,99,99,37,359,71.8,Pass
293,Student_0293,84,95,40,84,82,385,77.0,Pass
294,Student_0294,67,37,80,43,79,306,61.2,Pass
295,Student_0295,65,48,77,52,40,282,56.4,Pass
296,Student_0296,80,78,57,94,96,405,81.0,Pass
297,Student_0297,58,52,43,93,39,285,57.0,Pass
298,Student_0298,72,60,40,60,40,272,54.4,Pass
299,Student_0299,75,74,100,85,95,429,85.8,Pass
300,Student_0300,67,39,59,71,80,316,63.2,Pass
301,Student_0301,41,77,69,50,82,319,63.8,Pass
302,Student_0302,90,86,91,84,78,429,85.8,Pass
303,Student_0303,58,98,98,82,69,405,81.0,Pass
304,Student_0304,45,89,45,90,58,327,65.4,Pass
305,Student_0305,72,76,48,45,76,317,63.4,Pass
306,Student_0306,72,74,92,89,56,383,76.6,Pass
307,Student_0307,91,79,92,40,80,382,76.4,Pass
308,Student_0308,90,70,42,44,86,332,66.4,Pass
309,Student_0309,81,100,55,38,53,327,65.4,Pass
310,Student_0310,91,39,51,43,65,289,57.8,Pass
311,Student_0311,81,81,84,39,54,339,67.8,Pass
312,Student_0312,92,82,82,91,44,391,78.2,Pass
313,Student_0313,52,81,85,75,70,363,72.6,Pass
314,Student_0314,66,49,38,58,98,309,61.8,Pass
315,Student_0315,84,50,68,68,92,362,72.4,Pass
316,Student_0316,62,71,97,60,50,340,68.0,Pass
317,Student_0317,52,44,92,57,91,336,67.2,Pass
318,Student_0318,46,75,79,43,72,315,63.0,Pass
319,Student_0319,73,55,57,81,100,366,73.2,Pass
320,Student_0320,63,50,60,52,65,290,58.0,Pass
321,Student_0321,98,38,81,82,94,393,78.6,Pass
322,Student_0322,51,46,43,74,85,299,59.8,Pass
323,Student_0323,96,87,87,44,51,365,73.0,Pass
324,Student_0324,75,44,92,94,79,384,76.8,Pass
325,Student_0325,51,58,51,90,99,349,69.8,Pass
326,Student_0326,42,50,54,73,56,275,55.0,Pass
327,Student_0327,55,76,63,79,71,344,68.8,Pass
328,Student_0328,45,67,60,70,51,293,58.6,Pass
329,Student_0329,73,46,99,56,54,328,65.6,Pass
330,Student_0330,56,78,40,38,45,257,51.4,Pass
331,Student_0331,40,68,61,88,38,295,59.0,Pass
332,Student_0332,98,72,73,96,66,405,81.0,Pass
333,Student_0333,86,73,93,44,42,338,67.6,Pass
334,Student_0334,55,91,88,96,94,424,84.8,Pass
335,Student_0335,61,78,53,75,75,342,68.4,Pass
336,Student_0336,79,86,51,82,100,398,79.6,Pass
337,Student_0337,48,75,65,94,50,332,66.4,Pass
338,Student_0338,69,92,66,53,47,327,65.4,Pass
339,Student_0339,41,72,84,88,66,351,70.2,Pass
340,Student_0340,55,76,75,59,55,320,64.0,Pass
341,Student_0341,98,100,94,98,74,464,92.8,Pass
342,Student_0342,98,37,46,85,99,365,73.0,Pass
343,Student_0343,93,65,62,80,41,341,68.2,Pass
344,Student_0344,41,71,98,95,71,376,75.2,Pass
345,Student_0345,36,48,90,52,68,294,58.8,Pass
346,Student_0346,81,86,81,40,86,374,74.8,Pass
347,Student_0347,41,59,81,71,44,296,59.2,Pass
348,Student_0348,84,99,92,70,50,395,79.0,Pass
349,Student_0349,51,47,85,82,78,343,68.6,Pass
350,Student_0350,81,53,60,100,86,380,76.0,Pass
351,Student_0351,99,40,40,39,52,270,54.0,Pass
352,Student_0352,77,95,93,54,100,419,83.8,Pass
353,Student_0353,52,76,75,55,85,343,68.6,Pass
354,Student_0354,73,78,99,100,97,447,89.4,Pass
355,Student_0355,73,95,37,82,77,364,72.8,Pass
356,Student_0356,49,88,74,38,95,344,68.8,Pass
357,Student_0357,68,64,41,96,56,325,65.0,Pass
358,Student_0358,83,53,66,39,49,290,58.0,Pass
359,Student_0359,59,37,91,75,88,350,70.0,Pass
360,Student_0360,54,87,61,87,99,388,77.6,Pass
361,Student_0361,95,42,52,61,76,326,65.2,Pass
362,Student_0362,96,83,75,57,93,404,80.8,Pass
363,Student_0363,78,80,68,96,59,381,76.2,Pass
364,Student_0364,66,70,73,63,73,345,69.0,Pass
365,Student_0365,71,61,97,75,96,400,80.0,Pass
366,Student_0366,79,70,71,50,83,353,70.6,Pass
367,Student_0367,85,79,53,72,40,329,65.8,Pass
368,Student_0368,71,45,79,91,67,353,70.6,Pass
369,Student_0369,96,62,60,69,69,356,71.2,Pass
370,Student_0370,52,48,65,66,41,272,54.4,Pass
371,Student_0371,63,64,41,47,87,302,60.4,Pass
372,Student_0372,77,95,47,52,35,306,61.2,Pass
373,Student_0373,55,87,95,96,60,393,78.6,Pass
374,Student_0374,71,76,71,42,46,306,61.2,Pass
375,Student_0375,64,39,57,88,57,305,61.0,Pass
376,Student_0376,39,85,98,58,72,352,70.4,Pass
377,Student_0377,39,36,73,48,77,273,54.6,Pass
378,Student_0378,71,93,98,52,99,413,82.6,Pass
379,Student_0379,94,69,59,49,77,348,69.6,Pass
380,Student_0380,55,93,67,58,36,309,61.8,Pass
381,Student_0381,78,72,59,57,86,352,70.4,Pass
382,Student_0382,89,100,76,46,86,397,79.4,Pass
383,Student_0383,47,58,52,96,76,329,65.8,Pass
384,Student_0384,66,35,68,84,65,318,63.6,Pass
385,Student_0385,92,69,77,73,36,347,69.4,Pass
386,Student_0386,68,81,65,42,50,306,61.2,Pass
387,Student_0387,94,74,55,86,99,408,81.6,Pass
388,Student_0388,74,50,72,82,63,341,68.2,Pass
389,Student_0389,63,52,96,54,93,358,71.6,Pass
390,Student_0390,82,88,95,62,66,393,78.6,Pass
391,Student_0391,45,92,81,44,49,311,62.2,Pass
392,Student_0392,42,99,60,54,56,311,62.2,Pass
393,Student_0393,76,91,49,61,97,374,74.8,Pass
394,Student_0394,46,100,92,42,93,373,74.6,Pass
395,Student_0395,51,100,88,93,42,374,74.8,Pass
396,Student_0396,94,74,37,85,67,357,71.4,Pass
397,Student_0397,35,62,44,40,89,270,54.0,Pass
398,Student_0398,79,43,42,43,95,302,60.4,Pass
399,Student_0399,39,71,87,58,52,307,61.4,Pass
400,Student_0400,88,82,83,92,83,428,85.6,Pass
401,Student_0401,83,45,52,79,50,309,61.8,Pass
402,Student_0402,57,85,51,63,35,291,58.2,Pass
403,Student_0403,37,73,94,89,83,376,75.2,Pass
404,Student_0404,64,66,93,79,54,356,71.2,Pass
405,Student_0405,70,59,49,39,88,305,61.0,Pass
406,Student_0406,37,65,61,43,47,253,50.6,Pass
407,Student_0407,39,92,41,66,40,278,55.6,Pass
408,Student_0408,86,91,64,62,42,345,69.0,Pass
409,Student_0409,52,99,72,64,75,362,72.4,Pass
410,Student_0410,76,65,73,53,63,330,66.0,Pass
411,Student_0411,87,73,70,42,57,329,65.8,Pass
412,Student_0412,89,98,41,79,83,390,78.0,Pass
413,Student_0413,75,88,87,54,73,377,75.4,Pass
414,Student_0414,83,58,95,65,63,364,72.8,Pass
415,Student_0415,73,53,94,42,87,349,69.8,Pass
416,Student_0416,88,52,84,66,67,357,71.4,Pass
417,Student_0417,61,77,45,92,82,357,71.4,Pass
418,Student_0418,46,59,41,69,83,298,59.6,Pass
419,Student_0419,40,44,59,62,96,301,60.2,Pass
420,Student_0420,61,77,73,36,62,309,61.8,Pass
421,Student_0421,59,50,96,66,61,332,66.4,Pass
422,Student_0422,85,65,76,71,83,380,76.0,Pass
423,Student_0423,94,80,74,68,81,397,79.4,Pass
424,Student_0424,100,98,94,47,95,434,86.8,Pass
425,Student_0425,75,61,82,75,87,380,76.0,Pass
426,Student_0426,40,63,53,37,68,261,52.2,Pass
427,Student_0427,88,72,54,60,77,351,70.2,Pass
428,Student_0428,64,83,66,98,78,389,77.8,Pass
429,Student_0429,67,97,97,93,56,410,82.0,Pass
430,Student_0430,80,56,52,97,58,343,68.6,Pass
431,Student_0431,42,39,44,41,35,201,40.2,Pass
432,Student_0432,87,52,64,43,54,300,60.0,Pass
433,Student_0433,36,62,99,93,82,372,74.4,Pass
434,Student_0434,42,96,97,37,35,307,61.4,Pass
435,Student_0435,87,36,37,70,71,301,60.2,Pass
436,Student_0436,37,99,90,57,48,331,66.2,Pass
437,Student_0437,47,54,65,59,67,292,58.4,Pass
438,Student_0438,80,69,85,45,82,361,72.2,Pass
439,Student_0439,86,93,66,63,73,381,76.2,Pass
440,Student_0440,45,39,46,86,83,299,59.8,Pass
441,Student_0441,83,95,42,36,56,312,62.4,Pass
442,Student_0442,45,98,90,77,47,357,71.4,Pass
443,Student_0443,40,64,62,95,69,330,66.0,Pass
444,Student_0444,40,44,70,39,57,250,50.0,Pass
445,Student_0445,75,37,61,53,85,311,62.2,Pass
446,Student_0446,44,73,55,65,84,321,64.2,Pass
447,Student_0447,77,84,52,45,99,357,71.4,Pass
448,Student_0448,79,41,47,90,64,321,64.2,Pass
449,Student_0449,44,78,85,76,38,321,64.2,Pass
450,Student_0450,69,92,97,64,80,402,80.4,Pass
451,Student_0451,83,90,58,83,45,359,71.8,Pass
452,Student_0452,72,66,44,45,69,296,59.2,Pass
453,Student_0453,54,83,54,84,75,350,70.0,Pass
454,Student_0454,81,48,46,35,74,284,56.8,Pass
455,Student_0455,91,81,69,48,51,340,68.0,Pass
456,Student_0456,46,58,90,92,100,386,77.2,Pass
457,Student_0457,87,48,38,46,80,299,59.8,Pass
458,Student_0458,46,76,84,36,72,314,62.8,Pass
459,Student_0459,87,84,45,66,56,338,67.6,Pass
460,Student_0460,83,56,52,69,73,333,66.6,Pass
461,Student_0461,69,98,53,43,56,319,63.8,Pass
462,Student_0462,90,70,88,73,96,417,83.4,Pass
463,Student_0463,44,81,67,66,98,356,71.2,Pass
464,Student_0464,60,93,48,52,73,326,65.2,Pass
465,Student_0465,35,85,77,83,77,357,71.4,Pass
466,Student_0466,91,77,90,52,73,383,76.6,Pass
467,Student_0467,76,60,96,75,57,364,72.8,Pass
468,Student_0468,85,75,72,97,66,395,79.0,Pass
469,Student_0469,76,83,70,85,81,395,79.0,Pass
470,Student_0470,49,60,58,38,94,299,59.8,Pass
471,Student_0471,61,91,72,43,87,354,70.8,Pass
472,Student_0472,98,52,73,65,67,355,71.0,Pass
473,Student_0473,54,89,83,44,92,362,72.4,Pass
474,Student_0474,96,86,99,88,39,408,81.6,Pass
475,Student_0475,81,45,48,66,80,320,64.0,Pass
476,Student_0476,56,40,86,77,90,349,69.8,Pass
477,Student_0477,48,36,47,68,63,262,52.4,Pass
478,Student_0478,100,63,92,82,85,422,84.4,Pass
479,Student_0479,94,99,54,79,38,364,72.8,Pass
480,Student_0480,96,48,72,88,45,349,69.8,Pass
481,Student_0481,49,53,79,74,78,333,66.6,Pass
482,Student_0482,93,61,96,79,95,424,84.8,Pass
483,Student_0483,47,91,92,75,43,348,69.6,Pass
484,Student_0484,73,40,49,37,78,277,55.4,Pass
485,Student_0485,48,56,66,57,55,282,56.4,Pass
486,Student_0486,77,89,94,64,86,410,82.0,Pass
487,Student_0487,58,58,90,85,38,329,65.8,Pass
488,Student_0488,60,92,89,84,35,360,72.0,Pass
489,Student_0489,62,61,70,43,48,284,56.8,Pass
490,Student_0490,58,81,76,60,93,368,73.6,Pass
491,Student_0491,49,68,97,75,84,373,74.6,Pass
492,Student_0492,85,49,79,80,93,386,77.2,Pass
493,Student_0493,57,73,45,52,75,302,60.4,Pass
494,Student_0494,50,65,74,49,58,296,59.2,Pass
495,Student_0495,82,53,100,84,88,407,81.4,Pass
496,Student_0496,52,84,89,58,97,380,76.0,Pass
497,Student_0497,57,56,97,71,52,333,66.6,Pass
